id,title,is_paid,num_subscribers,avg_rating,avg_rating_recent,rating,num_reviews,is_wishlisted,tags
227428,Kanban-based Project Management with Trello,True,551,3.7,3.67325,3.67325,49,False,"kanban, based, project, management, trello"
2335928,Wedding Management Mastery - Become A Day Of Coordinator,True,200,4.46154,4.43525,4.43525,49,False,"wedding, management, mastery, day, coordinator"
337320,Master Cash Flow Valuation - Financial Literacy in Excel,True,4678,4.05,4.20274,4.20274,49,False,"master, cash, flow, valuation, financial, literacy, excel"
645816,Super Real Estate Investing,True,1299,4.2,4.29246,4.29246,49,False,"super, real, estate, investing"
1659182,APM - PFQ: Project Management Fundamentals,True,157,4.5,4.47925,4.47925,49,False,"apm, pfq, project, management, fundamentals"
1383672,"Amazon FBA: Selling On Amazon, Private Label & Amazon PPC",True,4264,2.7,2.72754,2.72754,49,False,"amazon, fba, selling, amazon, private, label, amazon, ppc"
1306754,Global Business: Cultural and Behavioral Norms,True,219,4.15,3.62753,3.62753,49,False,"global, business, cultural, behavioral, norms"
72154,Film Screenwriting: Writing and Business of Screenwriting ,True,850,4.35,4.34263,4.34263,49,False,"film, screenwriting, writing, business, screenwriting"
1282064,Cryptocurrency (BTC & ETH) Investment & Trading Course 2017,True,235,3.45,3.41518,3.41518,49,False,"cryptocurrency, btc, eth, investment, trading, course, 2017"
735550,How to Trade Binary Options Effectively – All Levels,True,1768,2.9,2.99099,2.99099,49,False,"trade, binary, options, effectively, levels"
927400,Business Negotiations - Techniques from the battlefield!,True,681,3.7,3.8387,3.8387,49,False,"business, negotiations, techniques, battlefield"
1897934,Fundamentals of KPIs,True,662,4.09375,4.14882,4.14882,49,False,"fundamentals, kpis"
1349968,"Bitcoin Investing, Get Savings And Discounts - Introduction",True,235,4.5,4.34199,4.34199,49,False,"bitcoin, investing, savings, discounts, introduction"
1881966,Dropshipping Business 2020: Dropshipping for Beginners,True,5264,3.5,3.885,3.885,49,False,"dropshipping, business, 2020, dropshipping, beginners"
753380,QUOTE PRINTABLES IN POWERPOINT,True,1132,4.35,4.33932,4.33932,49,False,"quote, printables, powerpoint"
637252,Cold Emailing - How To Turn Every Response Into Business,True,1665,4.35,4.27569,4.27569,49,False,"cold, emailing, turn, response, business"
363364,Journalism: Be a Great Talk Show Host,True,1128,4.05,4.18855,4.18855,49,False,"journalism, great, talk, host"
510494,Kindle eBook Publishing - Achieve Success With No Marketing!,True,1472,4.35,4.30877,4.30877,49,False,"kindle, ebook, publishing, achieve, success, marketing"
815790,Goal Success Life Coach Sales Presentation Blueprint,True,508,4.9,4.92356,4.92356,49,False,"goal, success, life, coach, sales, presentation, blueprint"
388038,INTENTION – Sales Skills,True,15191,3.65,4.10852,4.10852,49,False,"intention, sales, skills"
1642388,How to Become a Farmer (Beginner's Guide) Farming 101 Basics,True,910,2.6,2.76033,2.76033,49,False,"farmer, beginner, guide, farming, 101, basics"
1691798,"Spiritual Insights for Businesses, Leaders and Entrepreneurs",True,704,4.65,4.66712,4.66712,49,False,"spiritual, insights, businesses, leaders, entrepreneurs"
2336976,Akka Serialization with Scala | Rock the JVM,True,925,4.85,4.88831,4.88831,49,False,"akka, serialization, scala, rock, jvm"
383034,Crowdfunding Confidential: Easy Ways to Boost Fundraising,True,9460,4.3,4.50917,4.50917,49,False,"crowdfunding, confidential, easy, ways, boost, fundraising"
1246884,Paralegal Crash Course,True,163,3.75,3.73789,3.73789,49,False,"paralegal, crash, course"
553346,Online Reputation Management: Negative Business Reviews,True,899,4.25,3.77768,3.77768,49,False,"online, reputation, management, negative, business, reviews"
2233476,How to Set Up a Translation Agency: The Complete Guide,True,1400,4.58333,4.62447,4.62447,49,False,"set, translation, agency, complete, guide"
2126596,Econometrics#2: Econometrics Modeling and Analysis in EViews,True,3549,3.3,3.52393,3.52393,50,False,"econometrics, modeling, analysis, eviews"
444012,Contract Law,True,321,3.95,3.92289,3.92289,49,False,"contract, law"
637908,CPA Affiliate Amazon Marketing on Steroids - Without Website,True,1607,3.35,3.52195,3.52195,49,False,"cpa, affiliate, amazon, marketing, steroids, website"
979616,"Investing In Stocks For Big Gains, Growth Investing Method",True,476,3.9,3.95781,3.95781,49,False,"investing, stocks, big, gains, growth, investing, method"
975414,Contango VXXB - ETF Options Trading - VIX Implied Volatility,True,756,4.2,4.17857,4.17857,49,False,"contango, vxxb, etf, options, trading, vix, implied, volatility"
942924,Real World Hadoop - Deploying Hadoop with Cloudera Manager,True,336,4.05,3.99588,3.99588,49,False,"real, world, hadoop, deploying, hadoop, cloudera, manager"
